Genome	groups	color
60_80.bin.113.strict	Asgardarchaeota_pop_113	Asgardarchaeota
50_60.bin.113.permissive	Asgardarchaeota_pop_113	Asgardarchaeota
80_100.bin.18.orig	Asgardarchaeota_pop_113	Asgardarchaeota
20_30.bin.171.orig	Asgardarchaeota_pop_113	Asgardarchaeota
40_50.bin.130.strict	Asgardarchaeota_pop_113	Asgardarchaeota
60_80.bin.64.strict	Chloroflexota_pop_7	Chloroflexota
50_60.bin.64.permissive	Chloroflexota_pop_7	Chloroflexota
30_40.bin.155.permissive	Chloroflexota_pop_7	Chloroflexota
80_100.bin.7.strict	Chloroflexota_pop_7	Chloroflexota
40_50.bin.60.strict	Chloroflexota_pop_7	Chloroflexota
80_100.bin.21.orig	Chloroflexota_pop_55	Chloroflexota
30_40.bin.55.orig	Chloroflexota_pop_55	Chloroflexota
40_50.bin.194.orig	Chloroflexota_pop_55	Chloroflexota
60_80.bin.167.strict	Chloroflexota_pop_55	Chloroflexota
50_60.bin.167.strict	Chloroflexota_pop_55	Chloroflexota
5_10.bin.10.orig	Desulfobacterota_pop_37	Desulfobacterota
10_15.bin.107.orig	Desulfobacterota_pop_37	Desulfobacterota
15_20.bin.37.orig	Desulfobacterota_pop_37	Desulfobacterota
20_30.bin.121.orig	Desulfobacterota_pop_37	Desulfobacterota
0_5.bin.66.strict	Desulfobacterota_pop_37	Desulfobacterota
40_50.bin.75.strict	Desulfobacterota_pop_75	Desulfobacterota
30_40.bin.97.strict	Desulfobacterota_pop_75	Desulfobacterota
80_100.bin.76.strict	Desulfobacterota_pop_75	Desulfobacterota
60_80.bin.101.strict	Desulfobacterota_pop_75	Desulfobacterota
50_60.bin.101.strict	Desulfobacterota_pop_75	Desulfobacterota
5_10.bin.92.strict	Nitrospirota_pop_92	Nitrospirota
15_20.bin.53.strict	Nitrospirota_pop_92	Nitrospirota
10_15.bin.6.strict	Nitrospirota_pop_92	Nitrospirota
80_100.bin.68.permissive	Nitrospirota_pop_92	Nitrospirota
20_30.bin.182.strict	Nitrospirota_pop_92	Nitrospirota
60_80.bin.165.strict	Nitrospirota_pop_92	Nitrospirota
50_60.bin.165.strict	Nitrospirota_pop_92	Nitrospirota
40_50.bin.27.strict	Nitrospirota_pop_92	Nitrospirota
30_40.bin.142.orig	Chloroflexota_pop_145	Chloroflexota
20_30.bin.50.orig	Chloroflexota_pop_145	Chloroflexota
