Genome	ZHQ05_1.fastq Relative Abundance (%)	ZHQ1015_1.fastq Relative Abundance (%)	ZHQ1520_1.fastq Relative Abundance (%)	ZHQ2030_1.fastq Relative Abundance (%)	ZHQ3040_1.fastq Relative Abundance (%)	ZHQ4050_1.fastq Relative Abundance (%)	ZHQ5060_1.fastq Relative Abundance (%)	ZHQ510_1.fastq Relative Abundance (%)	ZHQ6080_1.fastq Relative Abundance (%)	ZHQ80100_1.fastq Relative Abundance (%)
60_80.bin.113.strict	0	0.003057909	0.004814478	0.03151193	0.009146339	0.016549964	0.024186112	0.002105641	0.026443537	0.040503435
50_60.bin.113.permissive	0	0.003114322	0.004820689	0.03193228	0.009421279	0.016769167	0.024960097	0.002183792	0.026134908	0.04077879
80_100.bin.18.orig	0	0.003189847	0.004912735	0.03230233	0.009144967	0.016420122	0.023969438	0.002196305	0.026124235	0.042188622
20_30.bin.171.orig	0	0.003175966	0.004831095	0.03307167	0.009034319	0.016073303	0.023924472	0.002126444	0.025677973	0.040674467
40_50.bin.130.strict	0	0.00303035	0.004793969	0.031034386	0.008828473	0.01736344	0.023328764	0.00214351	0.025160436	0.03942779
60_80.bin.64.strict	0.001389488	0	0.001551092	0.00651883	0.020285325	0.027069852	0.0358502	0.001581685	0.036682904	0.03694005
50_60.bin.64.permissive	0.001455429	0	0.001655356	0.006902129	0.021844534	0.028551722	0.040075205	0.001682814	0.0373779	0.038940415
30_40.bin.155.permissive	0.002535894	0.001202515	0.002812589	0.011748947	0.043777857	0.05239675	0.06152342	0.003141672	0.06314892	0.06137217
80_100.bin.7.strict	0.002840538	0.002015897	0.003837523	0.014669846	0.0369885	0.050175324	0.05725201	0.003842788	0.06185085	0.07224925
40_50.bin.60.strict	0.001401243	0	0.001507915	0.007782276	0.030724168	0.053021934	0.04871363	0.001605152	0.052042868	0.04308098
80_100.bin.21.orig	0.007194575	0.00380574	0.005800171	0.013624285	0.03834041	0.04407352	0.038135223	0.007702702	0.045974568	0.059315104
30_40.bin.55.orig	0.007774671	0.003845903	0.005532961	0.012816488	0.043394223	0.046141453	0.039596196	0.007983661	0.04766834	0.057463825
