Genome	Depth_00_05cm	Depth_05_10cm	Depth_10_15cm	Depth_15_20cm	Depth_20_30cm	Depth_30_40cm	Depth_40_50cm	Depth_50_60cm	Depth_60_80cm	Depth_80_100cm
Asgardarchaeota MAG 6080113	0	0.002105641	0.003057909	0.004814478	0.03151193	0.009146339	0.016549964	0.024186112	0.026443537	0.040503435
Chloroflexota MAG 801007	0.002840538	0.003842788	0.002015897	0.003837523	0.014669846	0.0369885	0.050175324	0.05725201	0.06185085	0.07224925
Chloroflexota MAG 304055	0.007774671	0.007983661	0.003845903	0.005532961	0.012816488	0.043394223	0.046141453	0.039596196	0.04766834	0.057463825
Desulfobacterota MAG 152037	0.045804653	0.056525614	0.047657155	0.04075192	0.0295132	0.007527929	0.004797462	0.006042129	0.004573471	0.004604984
Desulfobacterota MAG 405075	0.003433516	0.005207846	0.004594372	0.007941769	0.020709239	0.03337732	0.046574745	0.03263152	0.038016614	0.038681336
Nitrospirota MAG 51092	0.013983919	0.02568581	0.022024829	0.02058921	0.012681397	0.005644335	0.007905966	0.01167767	0.008474401	0.011712549
Chloroflexota MAG 4050145	0.002309457	0.006086997	0.013009039	0.011749019	0.010706619	0.013258423	0.020236617	0.012860036	0.013523241	0.008890118
Proteobacteria MAG 203040	0.011139312	0.014976659	0.023438236	0.025916314	0.022166861	0.013038948	0.012385485	0.020431846	0.016647028	0.007135643
Proteobacteria MAG 152079	0.015094323	0.020300243	0.029163865	0.028292347	0.02240208	0.016566645	0.012471912	0.013735433	0.00733874	0.004871173
Proteobacteria MAG 0532	0.0696827	0.061761137	0.058694605	0.046211857	0.036538064	0.024878625	0.010690745	0.021540992	0.011637226	0.010256569
Halobacteriota MAG 203088	0.001784197	0.010030923	0.013638085	0.02095295	0.012225662	0.03177181	0.0351176	0.034094393	0.019885646	0.01879918
Proteobacteria MAG 101530	0.03081492	0.022160666	0.041858	0.025964843	0.037945643	0.010530904	0.005113962	0.00478845	0.003323694	0.003174327
Methylomirabilota MAG 51073	0.02025377	0.02946819	0.029734995	0.026865166	0.02273226	0.011517072	0.013918398	0.010061881	0.006240225	0.005898445
KSB1 MAG 506059	0.003000901	0.005068435	0.011960803	0.012149165	0.014946131	0.02612938	0.007446184	0.017821372	0.01194299	0.005757668
Proteobacteria MAG 4050181	0.027139276	0.02082719	0.016598178	0.011680161	0.015970716	0.022491328	0.024440665	0.017747937	0.016996024	0.022770656
Krumholzibacteriota MAG 2030129	0	0.001889921	0.002053403	0.003525384	0.04115592	0.007751712	0.014250221	0.007352747	0.008803192	0.020370515
