querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
0_5.bin.107.strict.fa,0_5.bin.107.strict.fa,2846230,110,0.99981594,0.99981594,0.9999614,2846754,2846754,0.999815931,91
0_5.bin.114.permissive.fa,0_5.bin.114.permissive.fa,2105383,435,0.9988827,0.9988827,0.9997934,2107738,2107738,0.998882688,166
0_5.bin.114.permissive.fa,10_15.bin.149.permissive.fa,1152410,8774,0.51671714,0.54675204,0.9923864,2230253,2107738,0.546752016,166
0_5.bin.114.permissive.fa,5_10.bin.100.orig.fa,1413036,11631,0.5091207,0.670404,0.9917688,2775444,2107738,0.670404007,166
10_15.bin.149.permissive.fa,0_5.bin.114.permissive.fa,1151062,8614,0.5461125,0.51611274,0.99251646,2107738,2230253,0.546112467,166
10_15.bin.149.permissive.fa,10_15.bin.149.permissive.fa,2229682,50,0.999744,0.999744,0.9999776,2230253,2230253,0.999743975,166
10_15.bin.149.permissive.fa,5_10.bin.100.orig.fa,1458773,11922,0.5255999,0.6540841,0.99182737,2775444,2230253,0.654084088,166
5_10.bin.100.orig.fa,0_5.bin.114.permissive.fa,1412752,11711,0.67026925,0.50901836,0.9917105,2107738,2775444,0.670269265,166
5_10.bin.100.orig.fa,10_15.bin.149.permissive.fa,1459093,11966,0.65422755,0.5257152,0.991799,2230253,2775444,0.65422757,166
5_10.bin.100.orig.fa,5_10.bin.100.orig.fa,2774840,0,0.9997824,0.9997824,1,2775444,2775444,0.999782377,166
0_5.bin.123.permissive.fa,0_5.bin.123.permissive.fa,1575508,48,0.999736,0.999736,0.99996954,1575924,1575924,0.999736028,220
0_5.bin.17.orig.fa,0_5.bin.17.orig.fa,1997940,0,0.9998874,0.9998874,1,1998165,1998165,0.999887397,65
0_5.bin.20.strict.fa,0_5.bin.20.strict.fa,1574567,116,0.9995188,0.9995188,0.9999263,1575325,1575325,0.999518829,90
0_5.bin.24.orig.fa,0_5.bin.24.orig.fa,7465518,0,0.9999531,0.9999531,1,7465868,7465868,0.99995312,149
0_5.bin.25.orig.fa,0_5.bin.25.orig.fa,2653007,0,0.99990237,0.99990237,1,2653266,2653266,0.999902384,169
0_5.bin.25.orig.fa,15_20.bin.36.strict.fa,1277454,35809,0.6711626,0.48146474,0.9719685,1903345,2653266,0.671162611,169
0_5.bin.25.orig.fa,5_10.bin.6.orig.fa,2269308,12318,0.80933636,0.85528857,0.9945719,2803912,2653266,0.855288539,169
15_20.bin.36.strict.fa,0_5.bin.25.orig.fa,1277652,35848,0.48153937,0.6712666,0.9719423,2653266,1903345,0.671266638,169
15_20.bin.36.strict.fa,15_20.bin.36.strict.fa,1899115,269,0.9977776,0.9977776,0.9998584,1903345,1903345,0.997777597,169
15_20.bin.36.strict.fa,5_10.bin.6.orig.fa,1247108,34569,0.4447743,0.6552191,0.9722807,2803912,1903345,0.655219101,169
5_10.bin.6.orig.fa,0_5.bin.25.orig.fa,2269326,12391,0.8552953,0.8093428,0.9945398,2653266,2803912,0.855295323,169
5_10.bin.6.orig.fa,15_20.bin.36.strict.fa,1247099,34874,0.65521437,0.44477108,0.9720359,1903345,2803912,0.655214373,169
5_10.bin.6.orig.fa,5_10.bin.6.orig.fa,2803497,0,0.999852,0.999852,1,2803912,2803912,0.999851993,169
0_5.bin.32.strict.fa,0_5.bin.32.strict.fa,2517154,100,0.9996533,0.9996533,0.99996024,2518027,2518027,0.9996533,163
0_5.bin.32.strict.fa,10_15.bin.79.orig.fa,1763835,17724,0.7605245,0.70048296,0.98995143,2319235,2518027,0.760524483,163
0_5.bin.32.strict.fa,20_30.bin.91.orig.fa,1426530,15345,0.79166037,0.5665269,0.98924315,1801947,2518027,0.791660354,163
0_5.bin.32.strict.fa,30_40.bin.73.orig.fa,1695527,18232,0.77505237,0.67335534,0.989247,2187629,2518027,0.775052351,163
0_5.bin.32.strict.fa,50_60.bin.51.strict.fa,1404402,20238,0.7632292,0.5577391,0.9855896,1840079,2518027,0.763229187,163
0_5.bin.32.strict.fa,5_10.bin.15.strict.fa,1852288,18828,0.76402956,0.73561084,0.98983526,2424367,2518027,0.764029538,163
0_5.bin.32.strict.fa,60_80.bin.51.orig.fa,1453952,17762,0.77624756,0.57741714,0.9877837,1873052,2518027,0.776247536,163
10_15.bin.79.orig.fa,0_5.bin.32.strict.fa,1763599,17818,0.7003892,0.7604227,0.9898968,2518027,2319235,0.760422726,163
10_15.bin.79.orig.fa,10_15.bin.79.orig.fa,2318462,0,0.9996667,0.9996667,1,2319235,2319235,0.9996667,163
10_15.bin.79.orig.fa,20_30.bin.91.orig.fa,1376737,14797,0.7640275,0.59361684,0.98925215,1801947,2319235,0.764027466,163
10_15.bin.79.orig.fa,30_40.bin.73.orig.fa,1632778,17980,0.74636877,0.7040158,0.9889881,2187629,2319235,0.746368786,163
10_15.bin.79.orig.fa,50_60.bin.51.strict.fa,1326655,18999,0.7209772,0.5720227,0.98567903,1840079,2319235,0.720977197,163
