genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster,sample,Treat_Control,Time_Point,Plot,Depth
30_40.bin.62.orig.fa,1_1,0.03,average,ANImf,1,ZhuHai_30_40,treatment,0,40,40
40_50.bin.133.orig.fa,1_1,0.03,average,ANImf,1,ZhuHai_40_50,treatment,0,50,50
30_40.bin.172.orig.fa,2_0,0.03,average,ANImf,2,ZhuHai_30_40,treatment,0,40,40
20_30.bin.214.permissive.fa,3_1,0.03,average,ANImf,3,ZhuHai_20_30,treatment,0,30,30
50_60.bin.63.strict.fa,3_1,0.03,average,ANImf,3,ZhuHai_50_60,treatment,0,60,60
60_80.bin.63.strict.fa,3_1,0.03,average,ANImf,3,ZhuHai_60_80,treatment,0,80,80
40_50.bin.140.strict.fa,4_0,0.03,average,ANImf,4,ZhuHai_40_50,treatment,0,50,50
80_100.bin.190.orig.fa,5_0,0.03,average,ANImf,5,ZhuHai_80_100,treatment,0,100,100
30_40.bin.109.strict.fa,6_1,0.03,average,ANImf,6,ZhuHai_30_40,treatment,0,40,40
40_50.bin.69.orig.fa,6_1,0.03,average,ANImf,6,ZhuHai_40_50,treatment,0,50,50
80_100.bin.174.strict.fa,6_1,0.03,average,ANImf,6,ZhuHai_80_100,treatment,0,100,100
20_30.bin.194.orig.fa,7_1,0.03,average,ANImf,7,ZhuHai_20_30,treatment,0,30,30
40_50.bin.137.orig.fa,7_1,0.03,average,ANImf,7,ZhuHai_40_50,treatment,0,50,50
80_100.bin.99.strict.fa,7_1,0.03,average,ANImf,7,ZhuHai_80_100,treatment,0,100,100
15_20.bin.155.orig.fa,8_0,0.03,average,ANImf,8,ZhuHai_15_20,treatment,0,20,20
5_10.bin.87.strict.fa,9_0,0.03,average,ANImf,9,ZhuHai_5_10,treatment,0,10,10
10_15.bin.35.strict.fa,10_1,0.03,average,ANImf,10,ZhuHai_10_15,treatment,0,15,15
20_30.bin.164.strict.fa,10_1,0.03,average,ANImf,10,ZhuHai_20_30,treatment,0,30,30
50_60.bin.193.strict.fa,10_1,0.03,average,ANImf,10,ZhuHai_50_60,treatment,0,60,60
60_80.bin.193.orig.fa,10_1,0.03,average,ANImf,10,ZhuHai_60_80,treatment,0,80,80
10_15.bin.5.strict.fa,11_1,0.03,average,ANImf,11,ZhuHai_10_15,treatment,0,15,15
15_20.bin.106.strict.fa,11_1,0.03,average,ANImf,11,ZhuHai_15_20,treatment,0,20,20
10_15.bin.140.permissive.fa,12_1,0.03,average,ANImf,12,ZhuHai_10_15,treatment,0,15,15
